Category: All categories

Month,Cristiano Ronaldo: (United States),Lionel Messi: (United States),Neymar: (United States)
2004-01,3,0,<1
2004-02,3,<1,<1
2004-03,3,<1,0
2004-04,3,<1,0
2004-05,3,<1,<1
2004-06,4,<1,0
2004-07,8,<1,<1
2004-08,4,0,<1
2004-09,4,<1,0
2004-10,4,<1,0
2004-11,4,<1,0
2004-12,3,<1,0
2005-01,4,<1,<1
2005-02,4,<1,0
2005-03,3,<1,<1
2005-04,4,<1,<1
2005-05,3,<1,<1
2005-06,3,<1,<1
2005-07,4,<1,<1
2005-08,2,<1,<1
2005-09,3,<1,0
2005-10,4,<1,0
2005-11,4,<1,<1
2005-12,4,<1,<1
2006-01,3,<1,<1
2006-02,3,1,<1
2006-03,4,1,<1
2006-04,5,1,<1
2006-05,6,1,<1
2006-06,23,2,0
2006-07,29,1,<1
2006-08,9,1,<1
2006-09,8,1,<1
2006-10,8,1,0
2006-11,8,1,<1
2006-12,8,1,<1
2007-01,8,1,<1
2007-02,8,1,<1
2007-03,8,1,<1
2007-04,10,5,<1
2007-05,11,2,<1
2007-06,9,2,<1
2007-07,11,3,<1
2007-08,9,1,<1
2007-09,11,2,<1
2007-10,9,2,<1
2007-11,9,2,<1
2007-12,10,2,<1
2008-01,10,2,<1
2008-02,12,2,<1
2008-03,10,2,<1
2008-04,16,2,<1
2008-05,20,3,<1
2008-06,25,3,<1
2008-07,18,2,<1
2008-08,12,4,<1
2008-09,12,2,<1
2008-10,11,3,<1
2008-11,12,3,<1
2008-12,13,3,<1
2009-01,15,4,<1
2009-02,12,4,<1
2009-03,13,4,<1
2009-04,15,4,<1
2009-05,20,8,<1
2009-06,32,6,<1
2009-07,22,5,<1
2009-08,16,6,<1
2009-09,16,6,<1
2009-10,17,5,<1
2009-11,16,5,<1
2009-12,17,8,<1
2010-01,16,5,<1
2010-02,16,5,<1
2010-03,17,10,1
2010-04,27,20,1
2010-05,31,14,3
2010-06,77,32,2
2010-07,45,20,2
2010-08,23,9,3
2010-09,20,13,3
2010-10,22,10,2
2010-11,23,13,2
2010-12,22,13,1
2011-01,12,7,1
2011-02,17,6,1
2011-03,11,8,1
2011-04,15,11,1
2011-05,15,12,1
2011-06,13,9,4
2011-07,14,10,4
2011-08,11,9,2
2011-09,12,8,2
2011-10,11,7,3
2011-11,13,8,3
2011-12,13,9,4
2012-01,12,10,3
2012-02,13,9,2
2012-03,12,15,3
2012-04,19,17,4
2012-05,14,12,4
2012-06,28,16,4
2012-07,13,9,4
2012-08,14,10,5
2012-09,19,11,3
2012-10,15,13,3
2012-11,15,14,3
2012-12,16,21,3
2013-01,17,18,3
2013-02,19,15,4
2013-03,18,16,3
2013-04,17,17,3
2013-05,18,14,11
2013-06,18,17,16
2013-07,14,16,10
2013-08,18,11,7
2013-09,16,12,6
2013-10,18,12,6
2013-11,23,14,6
2013-12,19,14,5
2014-01,22,15,5
2014-02,18,12,5
2014-03,20,16,5
2014-04,24,16,6
2014-05,31,17,6
2014-06,100,61,44
2014-07,42,80,72
2014-08,27,19,11
2014-09,26,19,10
2014-10,29,22,11
2014-11,29,23,9
2014-12,30,22,9
2015-01,39,27,10
2015-02,30,22,10
2015-03,31,27,10
2015-04,31,23,10
2015-05,35,38,11
2015-06,27,32,17
2015-07,24,22,7
2015-08,25,20,8
2015-09,24,24,8
2015-10,27,23,8
2015-11,32,26,11
2015-12,27,23,9
2016-01,23,23,8
2016-02,22,23,10
2016-03,20,19,8
2016-04,26,21,8
2016-05,24,19,8
2016-06,37,73,17
2016-07,43,35,7
2016-08,19,18,12
2016-09,17,17,7
2016-10,17,16,7
2016-11,19,17,8
2016-12,22,18,6
2017-01,17,15,5
2017-02,15,14,5
2017-03,18,18,6
2017-04,25,22,7
2017-05,21,19,5
2017-06,35,17,5
2017-07,22,17,21
2017-08,21,16,31
2017-09,17,14,8
2017-10,20,18,7
2017-11,21,15,7
2017-12,22,15,6
2018-01,18,13,7
2018-02,17,13,9
2018-03,17,16,7
2018-04,26,15,5
2018-05,23,16,7
2018-06,67,53,21
2018-07,64,22,34
2018-08,20,11,5
2018-09,21,12,5
2018-10,25,14,5
2018-11,15,10,5
2018-12,15,12,5
2019-01,15,10,5
2019-02,16,12,6
